               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.030131,            0.010139,           0.0054911,             0.60638,             0.48666,             0.49348,              0.3347,            0.030555,           0.0082239,            0.050319,            0.007327,            0.007327,            0.007327
                  56,            0.029741,            0.010131,           0.0052184,             0.71026,             0.46836,             0.50408,             0.34392,            0.030742,           0.0082622,            0.050313,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030009,             0.01001,           0.0052016,             0.59572,             0.49892,             0.50639,              0.3445,            0.030857,           0.0081568,            0.052929,            0.007228,            0.007228,            0.007228
                  58,            0.029969,            0.010027,           0.0048039,             0.59496,             0.47973,             0.49319,             0.33496,            0.030799,           0.0083791,            0.052717,           0.0071785,           0.0071785,           0.0071785
                  59,             0.02987,            0.010043,           0.0051252,             0.59892,             0.52333,             0.50568,             0.34215,            0.030944,           0.0083257,            0.053892,            0.007129,            0.007129,            0.007129
                  60,            0.029917,            0.010098,           0.0048729,             0.56428,             0.52602,             0.49587,             0.33423,            0.030933,           0.0082694,            0.053195,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029801,            0.010019,           0.0050378,             0.58552,             0.49496,             0.48491,             0.33138,            0.030741,             0.00838,            0.051355,             0.00703,             0.00703,             0.00703
                  62,            0.029723,            0.010001,           0.0048636,             0.58483,             0.48885,             0.48841,             0.33104,            0.030835,           0.0084222,            0.049581,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029713,           0.0099823,           0.0049293,             0.54485,             0.49205,             0.46744,             0.32053,            0.030974,           0.0085746,            0.051002,            0.006931,            0.006931,            0.006931
                  64,             0.02934,           0.0099743,           0.0045228,             0.47708,             0.51341,             0.46244,             0.31816,            0.031091,           0.0086498,            0.050376,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029504,           0.0099631,           0.0045889,             0.66296,             0.44863,             0.45297,             0.31276,            0.031142,           0.0086967,            0.048805,            0.006832,            0.006832,            0.006832
                  66,            0.029554,            0.010005,           0.0045748,             0.67309,             0.45351,             0.46049,             0.31544,            0.031177,           0.0085866,             0.04876,           0.0067825,           0.0067825,           0.0067825
                  67,              0.0295,           0.0099075,           0.0047872,             0.68837,             0.45865,             0.45274,             0.31223,            0.031213,           0.0084899,            0.047992,            0.006733,            0.006733,            0.006733
                  68,            0.029282,           0.0098608,           0.0047375,             0.67404,             0.47036,             0.45567,             0.31499,            0.031127,           0.0083659,             0.04682,           0.0066835,           0.0066835,           0.0066835
